Category,Subcategory
Food provision,Food preparation
Food provision,Food growth & collection
Food provision,Food processing
Nonfood provision,Materials
Nonfood provision,Energy
Technosphere modification,Infrastructure
Technosphere modification,Buildings
Technosphere modification,Artifacts
Maintenance of surroundings,Inhabited environment
Somatic maintenance,Sleep & bedrest
Maintenance of surroundings,Waste management
Somatic maintenance,Physical child care
Somatic maintenance,Health care
Somatic maintenance,Hygiene & grooming
Deliberate neural restructuring,Schooling & research
Deliberate neural restructuring,Religious practice
Organization,Human transportation
Organization,Material transportation
Organization,Allocation
Experience oriented,Social
Experience oriented,Active recreation
Experience oriented,Meals
Experience oriented,Passive
Experience oriented,Interactive
